0 781989.4924446974
1 781992.4500247233
2 781994.391836952
3 781996.633974498
4 781997.2446653073
5 781997.7261010966
6 781998.9347110216
7 781999.937868449
8 782000.4745454325
9 782001.1269246663
10 782001.4885696227
11 782002.2858123824
12 782003.0173072196
13 782003.8389232891
14 782004.4544907991
15 782005.3046672731
16 782005.7443666969
17 782006.0341145754
18 782006.414937425
19 782006.600925667
20 782007.1494076864
21 782007.410587834
22 782008.233793668
23 782008.4037093269
24 782009.1705015934
25 782009.68756965
26 782010.0811996863
27 782010.2775724578
28 782010.849561704
29 782011.2330180331
30 782011.5114489724
31 782011.8211683723
32 782012.1800782156
33 782012.4700341975
34 782012.7255288721
35 782012.9354790188
36 782013.0473677223
37 782013.6078566641
38 782013.8258410455
39 782013.9745535648
40 782014.3346443054
