0 781989.4924446974
1 782004.2773169093
2 782004.3175106626
3 782004.3661637573
4 782004.3664483545
5 782004.412794165
6 782004.4357893834
7 782005.028419761
8 782005.8538227533
9 782005.871914911
10 782006.6082251509
11 782007.3190994971
12 782008.21001022
13 782008.2324333235
14 782008.2463010679
15 782008.9604224348
16 782009.6932814093
17 782010.2872038995
18 782010.3316923569
19 782011.0328655647
20 782011.0569504062
21 782011.0967914484
22 782012.1192281747
23 782012.1845055869
24 782012.1950965677
25 782012.7764762185
26 782013.4516183842
27 782013.4730517826
28 782013.4890473655
29 782014.2517213477
30 782014.8195468538
31 782015.5341821464
32 782016.3800741193
33 782017.1024562891
34 782017.2289998342
35 782017.8297020099
36 782017.8503074381
37 782017.8710575217
38 782017.877001683
39 782017.9376579077
40 782018.8370229437
